ID,WIDTH,HEIGHT,AMOUNT,SEG,HOLD,LP,DP
0,18,46,1,1,2,1,14
1,18,46,1,1,2,1,14
2,18,46,2,1,2,1,14
3,18,46,2,1,2,1,14
4,18,46,3,1,2,1,14
5,19,46,14,1,2,1,14
6,19,46,1,1,2,1,14
7,19,46,7,1,2,1,14
8,19,46,8,1,2,1,14
9,19,46,1,1,2,1,14
10,19,46,5,1,2,1,14
11,19,46,1,1,2,1,14
12,19,46,11,1,2,1,14
13,19,46,14,1,2,1,14
14,19,46,16,1,2,1,14
15,19,46,17,1,2,1,14
16,19,49,4,2,3,1,14
17,19,49,3,2,3,1,14
18,18,48,2,2,3,1,14
19,18,48,7,2,3,1,14
20,18,48,6,2,3,1,14
21,19,48,3,2,3,1,14
22,18,48,5,2,3,1,14
23,19,48,7,2,3,1,14
24,18,48,6,2,3,1,14
25,19,48,5,2,3,1,14
26,18,46,1,2,3,1,14
27,18,46,2,2,3,1,14
28,18,46,9,2,3,1,14
29,18,46,3,2,3,1,14
30,18,46,2,2,3,1,14
31,18,46,1,2,3,1,14
32,18,46,1,2,3,1,14
33,18,46,4,2,3,1,14
34,18,46,2,2,3,1,14
35,18,46,9,2,3,1,14
36,18,46,2,2,3,1,14
37,18,46,2,2,3,1,14
38,18,46,1,2,3,1,14
39,19,46,2,2,3,1,14
40,19,46,1,2,3,1,14
