ID,WIDTH,HEIGHT,AMOUNT,SEG,HOLD,LP,DP
0,19,48,7,1,1,1,11
1,19,48,4,1,1,1,11
2,19,45,6,1,1,1,11
3,19,45,2,1,1,1,11
4,19,49,6,1,2,1,8
5,18,48,1,1,2,1,8
6,20,51,3,1,2,1,9
7,19,48,3,1,2,1,9
8,19,48,8,1,2,1,9
9,19,46,20,1,2,1,9
10,19,46,16,1,2,1,9
11,19,46,6,1,2,1,9
12,19,46,35,1,2,1,9
13,19,46,1,1,2,1,9
14,18,45,1,1,2,1,9
15,18,45,17,1,2,1,9
16,18,45,1,1,2,1,9
17,17,43,18,1,2,1,9
18,17,42,1,1,2,1,9
19,17,39,1,1,2,1,9
20,19,45,2,1,2,1,10
21,18,48,12,2,3,1,8
22,19,48,1,2,3,1,8
23,19,48,1,2,3,1,8
24,19,48,2,2,3,1,8
25,18,47,2,2,3,1,8
26,18,46,8,2,3,1,8
27,18,46,13,2,3,1,8
28,18,46,36,2,3,1,8
29,18,46,4,2,3,1,8
30,19,46,2,2,3,1,8
31,19,46,43,2,3,1,8
32,18,45,3,2,3,1,8
33,19,46,2,2,3,1,8
34,19,46,10,2,3,1,8
