ID,WIDTH,HEIGHT,AMOUNT,SEG,HOLD,LP,DP
0,17,47,6,1,1,1,1
1,17,37,59,1,1,2,3
2,16,34,20,1,1,2,3
3,19,53,2,1,2,1,1
4,19,53,15,1,2,1,1
5,18,52,1,1,2,1,1
6,18,52,5,1,2,1,1
7,20,50,2,1,2,1,1
8,20,50,1,1,2,1,1
9,19,50,1,1,2,1,1
10,19,50,1,1,2,1,1
11,19,50,2,1,2,1,1
12,20,49,9,1,2,1,1
13,20,49,1,1,2,1,1
14,20,49,4,1,2,1,1
15,18,48,2,1,2,1,1
16,17,47,1,1,2,1,1
17,17,47,28,1,2,1,1
18,17,47,4,1,2,1,1
19,17,47,14,1,2,1,1
20,17,38,3,1,2,2,3
21,17,37,37,1,2,2,3
22,16,34,22,1,2,2,3
23,21,59,52,2,3,1,1
24,19,53,23,2,3,1,1
25,19,53,8,2,3,1,1
26,19,53,4,2,3,1,1
27,19,53,25,2,3,1,1
28,21,59,70,2,4,1,1
