ID,WIDTH,HEIGHT,AMOUNT,SEG,HOLD,LP,DP
0,19,46,3,1,1,1,14
1,19,46,1,1,1,1,14
2,19,46,2,1,1,1,14
3,19,46,9,1,1,1,14
4,17,43,3,1,2,1,9
5,17,42,2,1,2,1,9
6,19,48,74,1,2,1,13
7,19,48,1,1,2,1,13
8,18,46,12,1,2,1,13
9,18,46,3,1,2,1,13
10,18,46,12,1,2,1,13
11,19,46,7,1,2,1,14
12,19,52,1,2,3,1,13
13,19,49,1,2,3,1,13
14,19,48,3,2,3,1,13
15,19,48,10,2,3,1,13
16,19,46,2,2,3,1,14
17,19,46,12,2,3,1,14
18,19,46,1,2,3,1,14
19,19,46,3,2,3,1,14
20,19,46,3,2,3,1,14
21,19,46,12,2,3,1,14
22,19,46,11,2,3,1,14
23,19,46,38,2,3,1,14
24,19,46,6,2,3,1,14
25,19,46,1,2,3,1,14
26,18,45,1,2,3,1,14
27,18,45,5,2,3,1,14
28,18,45,3,2,3,1,14
29,18,45,4,2,3,1,14
30,18,45,1,2,3,1,14
31,18,45,1,2,3,1,14
32,17,43,2,2,3,1,14
