ID,WIDTH,HEIGHT,AMOUNT,SEG,HOLD,LP,DP,HANDLE
0,20,49,65,1,1,6,4,1
1,20,49,1,1,1,6,4,2
2,20,49,7,1,1,6,4,2
3,20,49,2,1,1,6,4,1
4,20,49,6,1,1,6,4,2
5,20,49,5,1,1,6,4,1
6,20,49,9,1,1,6,4,2
7,19,48,14,1,1,6,4,2
8,18,48,21,1,1,6,4,2
9,18,48,44,1,2,6,4,1
10,18,48,3,1,2,6,4,1
11,18,48,2,1,2,6,4,1
12,19,48,35,1,2,6,4,1
13,19,48,4,1,2,6,4,2
14,19,48,1,1,2,6,4,1
15,19,48,3,1,2,6,4,1
16,19,48,2,1,2,6,4,1
17,19,48,1,1,2,6,4,1
18,19,48,2,1,2,6,4,2
19,19,48,4,1,2,6,4,1
20,19,48,17,1,2,6,4,1
21,19,48,1,1,2,6,4,2
22,19,48,1,1,2,6,4,2
23,18,46,3,1,2,6,4,2
24,18,46,1,1,2,6,4,2
25,18,46,18,1,2,6,4,2
26,18,46,12,1,2,6,4,2
27,19,48,17,2,3,6,4,2
28,19,48,3,2,3,6,4,1
29,19,48,10,2,3,6,4,1
30,19,48,94,2,3,6,4,1
31,18,46,2,2,3,6,4,1
32,18,46,2,2,3,6,4,1
33,18,46,4,2,3,6,4,2
34,20,50,4,2,4,6,4,1
35,20,50,10,2,4,6,4,1
36,20,50,8,2,4,6,4,2
37,20,49,4,2,4,6,4,1
38,20,49,27,2,4,6,4,1
39,20,49,36,2,4,6,4,2
40,19,49,5,2,4,6,4,1
41,19,49,1,2,4,6,4,2
42,19,49,1,2,4,6,4,1
43,20,49,18,2,4,6,4,1
