ID,WIDTH,HEIGHT,AMOUNT,SEG,HOLD,LP,DP,HANDLE
0,19,46,1,1,1,1,9,2
1,19,46,11,1,1,1,9,2
2,19,46,1,1,1,1,9,2
3,19,46,2,1,1,1,9,1
4,19,46,4,1,1,1,9,1
5,19,46,11,1,1,1,9,2
6,19,46,5,1,1,1,9,1
7,19,46,11,1,1,1,9,2
8,19,46,16,1,1,1,9,2
9,19,46,4,1,1,1,9,1
10,19,46,15,1,1,1,9,2
11,19,46,6,1,1,1,9,2
12,19,46,34,1,1,1,9,2
13,19,46,4,1,1,1,9,2
14,19,46,24,1,1,1,9,2
15,19,48,1,1,2,1,9,2
16,18,48,1,1,2,1,9,1
17,19,48,1,1,2,1,9,1
18,18,46,3,1,2,1,9,1
19,18,46,2,1,2,1,9,1
20,18,46,6,1,2,1,9,1
21,18,46,2,1,2,1,9,1
22,18,46,25,1,2,1,9,1
23,18,46,4,1,2,1,9,1
24,18,46,2,1,2,1,9,1
25,18,46,5,1,2,1,9,1
26,18,46,8,1,2,1,9,1
27,19,46,8,1,2,1,9,1
28,19,46,4,1,2,1,9,1
29,19,46,1,1,2,1,9,1
30,19,46,10,1,2,1,9,2
31,19,46,17,1,2,1,9,2
32,19,46,5,1,2,1,9,1
33,19,46,30,1,2,1,9,2
34,19,46,1,1,2,1,9,2
35,19,46,6,1,2,1,9,2
36,19,46,3,1,2,1,9,2
37,19,46,18,1,2,1,9,2
38,19,46,3,1,2,1,9,2
39,19,46,5,1,2,1,9,2
40,19,46,7,1,2,1,9,2
41,19,50,2,2,3,1,9,1
42,19,49,5,2,3,1,9,1
43,19,49,16,2,3,1,9,2
44,19,49,2,2,3,1,9,2
45,19,49,1,2,3,1,9,1
46,18,48,18,2,3,1,9,2
47,19,48,2,2,3,1,9,1
48,18,48,41,2,3,1,9,2
49,18,48,6,2,3,1,9,2
50,19,48,5,2,3,1,9,1
51,19,48,1,2,3,1,9,1
52,18,46,3,2,3,1,9,1
53,19,46,19,2,3,1,10,2
54,19,46,1,2,3,1,10,2
55,19,46,2,2,3,1,10,1
56,19,46,2,2,3,1,10,1
57,18,45,1,2,3,1,10,1
58,18,48,1,2,4,1,7,1
59,18,48,2,2,4,1,7,2
60,18,48,7,2,4,1,8,2
61,19,52,1,2,4,1,10,2
62,18,46,1,2,4,1,10,2
63,19,46,15,2,4,1,10,2
64,19,46,4,2,4,1,10,2
65,19,49,7,2,4,1,11,2
66,18,48,13,2,4,1,11,2
67,19,48,1,2,4,1,11,2
68,18,46,2,2,4,1,11,2
69,18,46,2,2,4,1,11,2
70,18,46,2,2,4,1,11,1
71,18,46,1,2,4,1,11,1
72,18,46,1,2,4,1,11,1
73,19,46,73,2,4,1,11,1
74,19,46,2,2,4,1,11,1
75,19,46,2,2,4,1,11,1
76,19,46,1,2,4,1,11,1
77,18,45,1,2,4,1,11,1
78,17,43,1,2,4,1,11,1
