ID,WIDTH,HEIGHT,AMOUNT,SEG,HOLD,LP,DP,HANDLE
1,21,59,2,1,1,1,7,1
0,21,59,11,1,1,1,7,1
2,20,50,48,1,1,1,7,1
3,20,50,20,1,1,1,7,1
4,19,50,32,1,1,1,7,1
5,19,53,12,1,2,1,2,1
6,19,50,103,1,2,1,7,1
7,19,50,3,1,2,1,7,1
8,20,50,13,1,2,1,7,1
9,20,49,3,1,2,1,7,1
10,21,59,3,2,3,1,2,1
11,21,59,4,2,3,1,2,1
12,21,59,2,2,3,1,2,1
13,21,59,2,2,3,1,2,1
14,21,59,1,2,3,1,2,1
15,19,53,3,2,3,1,2,1
16,21,59,3,2,3,1,5,1
17,21,59,5,2,3,1,5,1
18,21,59,4,2,3,1,5,1
19,21,59,6,2,3,1,6,1
20,20,49,27,2,3,1,7,1
21,19,48,9,2,3,1,7,1
22,18,48,2,2,3,1,7,1
23,17,47,3,2,3,1,7,1
24,19,46,26,2,3,1,7,1
25,18,41,1,2,3,1,7,1
26,20,49,7,2,4,1,7,1
27,20,49,110,2,4,1,7,1
