ID,WIDTH,HEIGHT,AMOUNT,SEG,HOLD,LP,DP,HANDLE
0,19,46,38,1,1,1,7,1
1,19,46,1,1,1,1,7,1
2,19,46,19,1,1,1,7,1
3,19,46,19,1,1,1,7,1
4,19,46,1,1,1,1,7,1
5,18,45,1,1,1,1,7,1
6,18,45,2,1,1,1,7,1
7,18,45,1,1,1,1,7,1
8,19,45,1,1,1,1,7,1
9,18,45,21,1,1,1,7,1
10,18,45,11,1,1,1,7,1
11,18,45,39,1,1,1,7,1
12,17,43,4,1,1,1,7,1
13,17,43,3,1,1,1,7,1
14,17,43,1,1,1,1,7,1
15,19,50,4,1,2,1,4,1
16,19,49,16,1,2,1,4,1
17,19,46,2,1,2,1,4,1
18,19,48,1,1,2,1,5,1
19,17,47,1,1,2,1,5,1
20,17,47,6,1,2,1,5,1
21,19,46,1,1,2,1,5,1
22,18,52,69,1,2,1,6,1
23,21,52,1,1,2,1,6,1
24,18,52,22,1,2,1,6,1
25,19,50,2,1,2,1,6,1
26,20,49,3,1,2,1,6,1
27,18,47,2,1,2,1,6,1
28,17,47,2,1,2,1,6,1
29,17,47,3,1,2,1,6,1
30,17,47,11,1,2,1,6,1
31,19,46,12,1,2,1,6,1
32,17,42,2,1,2,1,7,1
33,17,42,1,1,2,1,7,1
34,18,46,40,2,3,1,4,1
35,18,46,50,2,3,1,4,1
36,19,46,25,2,3,1,4,1
37,19,46,35,2,3,1,4,1
38,19,46,3,2,3,1,4,1
39,18,48,4,2,4,1,4,1
40,19,48,22,2,4,1,4,1
41,19,48,1,2,4,1,4,1
42,19,48,2,2,4,1,4,1
43,19,47,2,2,4,1,4,1
44,18,47,4,2,4,1,4,1
45,18,46,15,2,4,1,4,1
46,18,46,54,2,4,1,4,1
47,18,46,12,2,4,1,4,1
48,18,46,12,2,4,1,4,1
