ID,WIDTH,HEIGHT,AMOUNT,SEG,HOLD,LP,DP,HANDLE
0,19,46,125,1,1,5,11,1
1,19,46,24,1,1,5,11,1
2,17,45,1,1,1,5,11,1
3,17,45,1,1,1,5,11,1
4,17,45,1,1,1,5,11,1
5,17,44,1,1,1,5,11,1
6,18,43,181,1,2,5,11,1
7,16,39,1,1,2,5,11,1
8,16,39,1,1,2,5,11,1
9,19,52,1,1,2,6,4,1
10,20,51,1,1,2,6,4,1
11,20,51,3,1,2,6,4,1
12,19,46,4,1,2,6,5,1
13,19,46,1,1,2,6,5,1
14,18,43,92,2,3,5,11,1
15,18,43,28,2,3,5,11,1
16,17,43,1,2,3,5,11,1
17,17,43,1,2,3,5,11,1
18,17,43,1,2,3,5,11,1
19,17,42,1,2,3,5,11,1
20,18,42,1,2,3,5,11,1
21,18,42,1,2,3,5,11,1
22,18,42,1,2,3,5,11,1
23,17,42,1,2,3,5,11,1
24,17,42,1,2,3,5,11,1
25,17,42,1,2,3,5,11,1
26,17,40,1,2,3,5,11,1
27,17,40,1,2,3,5,11,1
28,17,40,1,2,3,5,11,1
29,16,39,1,2,3,5,11,1
30,16,39,1,2,3,5,11,1
31,16,39,1,2,3,5,11,1
32,16,39,1,2,3,5,11,1
33,16,39,1,2,3,5,11,1
34,16,39,1,2,3,5,11,1
35,16,39,1,2,3,5,11,1
36,16,39,1,2,3,5,11,1
37,16,39,1,2,3,5,11,1
38,19,53,5,2,3,6,5,1
39,19,46,3,2,3,6,5,1
40,17,44,1,2,4,5,11,1
41,17,44,1,2,4,5,11,1
42,17,44,1,2,4,5,11,1
43,17,44,1,2,4,5,11,1
44,17,44,1,2,4,5,11,1
45,17,44,1,2,4,5,11,1
46,17,44,1,2,4,5,11,1
47,17,44,1,2,4,5,11,1
48,17,44,1,2,4,5,11,1
49,17,44,1,2,4,5,11,1
50,17,44,1,2,4,5,11,1
51,17,44,1,2,4,5,11,1
52,17,44,1,2,4,5,11,1
53,17,44,1,2,4,5,11,1
54,17,44,1,2,4,5,11,1
55,17,44,1,2,4,5,11,1
56,17,44,1,2,4,5,11,1
57,17,44,1,2,4,5,11,1
58,17,44,1,2,4,5,11,1
59,17,44,1,2,4,5,11,1
60,17,44,1,2,4,5,11,1
61,17,44,1,2,4,5,11,1
62,17,44,1,2,4,5,11,1
63,17,44,1,2,4,5,11,1
64,17,44,1,2,4,5,11,1
65,17,44,1,2,4,5,11,1
66,17,44,1,2,4,5,11,1
67,17,44,1,2,4,5,11,1
68,17,44,1,2,4,5,11,1
69,17,44,1,2,4,5,11,1
70,17,44,1,2,4,5,11,1
71,17,44,1,2,4,5,11,1
72,17,44,1,2,4,5,11,1
73,17,44,1,2,4,5,11,1
74,17,44,1,2,4,5,11,1
75,17,44,1,2,4,5,11,1
76,17,44,1,2,4,5,11,1
77,17,44,1,2,4,5,11,1
78,17,44,1,2,4,5,11,1
79,17,44,1,2,4,5,11,1
80,17,44,1,2,4,5,11,1
81,17,44,1,2,4,5,11,1
82,17,44,1,2,4,5,11,1
83,16,44,1,2,4,5,11,1
84,16,44,1,2,4,5,11,1
85,17,44,1,2,4,5,11,1
86,16,43,1,2,4,5,11,1
87,16,43,1,2,4,5,11,1
88,16,43,1,2,4,5,11,1
89,17,43,1,2,4,5,11,1
90,18,43,9,2,4,5,11,1
91,18,43,86,2,4,5,11,1
